name,grade,location,date,comment,video
O.N.,VII-,"Linker Sektor, Wiesbadener Hütte, Galtür",2025-08,onsight,
O.N.,VII,"Rechter Sektor, Wiesbadener Hütte, Galtür",2025-08,onsight,
O.N.,VII-,"Rechter Sektor, Wiesbadener Hütte, Galtür",2025-08,onsight,
O.N.,VI,"Rechter Sektor, Wiesbadener Hütte, Galtür",2025-08,onsight,
Besser als im richtigen Leben,VII,"Wunderland, Maltatal",2025-07,onsight,
Friedl,VI,"Kreuzwand, Maltatal",2025-07,onsight,
Vogelkante,VI+,"Vogelwand, Baden",2025-04,onsight,
Vogeln erlaubt,VI,"Vogelwand, Baden",2025-04,onsight,
Le Cirque,5.10-,"Barnum Rock, Willow Canyon, Arizona",2025-02,onsight,
Road Kill,5.9,"Barnum Rock, Willow Canyon, Arizona",2025-02,onsight,
Morgengrau,VII+,Thalhofergrat,2024-10,onsight,
Don Rosl,VII,Thalhofergrat,2024-10,flash,
Don Roberto,VI+,Thalhofergrat,2024-10,onsight,
Der Kommissar,V-,Thalhofergrat,2024-10,onsight,
Sandokan,VII+/VIII-,"Lomasone, Daone",2024-09,,
Maialino Fatrato,VII-,"Lomasone, Daone",2024-09,onsight,
Aichemal,VI/-,"Lomasone, Daone",2024-09,onsight,
Il Cerchio di Arcobaleno,VII+,"Vela, Daone",2024-09,,
Stella Nascente,VII-,"Vela, Daone",2024-09,onsight,
Rechtsdrall,VII,"Efeugrat, Mödling",2024-08,,
Sommer,VI+,"Glocknergrad, Mödling",2024-08,,
Vogerltanz,VI,"Vogelwandl, Baden",2024-06,onsight,
Geierwally,VI,"Vogelwandl, Baden",2024-06,onsight,
Kolibri,VII-,"Vogelwandl, Baden",2024-06,onsight,
Frühschoppen,VI+,"Glocknergrad, Mödling",,,
The Edge,VI+,"Glocknergrad, Mödling",,,
Fiaker,VI+,"Glocknergrad, Mödling",2024-07,,
Frühling,VIII-,"Glocknergrad, Mödling",2024-06,,
El diedro del clavo rojo,V+,"Tenerifa, El Capricho",2024-02,onsight,
Placca de Bazzocchi,VI+,"Tenerifa, El Capricho",2024-02,onsight,
No hay colega sin taco,V,"Tenerifa, Arico",2024-02,onsight,
No hay pieda pa'los gogod,VII+/VIII-,"Tenerifa, Arico",2024-02,,
Sick english,VI+,"Tenerifa, Arico",2024-02,onsight,
Km 11,VII,"Tenerifa, Arico",2024-02,,
No cepillo mas,VII-,"Tenerifa, Arico",2024-02,onsight,
El espolon de Reno,VI+/VII,"Tenerifa, Fantasma",2024-02,onsight,
Carnet de piloto,VII+,"Tenerifa, Fantasma",2024-02,,
Böser Bum kreuzt,VII,Bum Bum Wandl,2023-10,,
Ettapen Bum,VI+,Bum Bum Wandl,2023-10,,
Giebelweg,VII+,"Frankenjura, Landrichter Seite",2023-07,,
Mir san Mir,VI+,"Frankenjura, Landrichter Seite",2023-07,onsight,
Foxi,VI+,"Frankenjura, Landrichter Seite",2023-07,,
Butterfly,V,"Frankenjura, Steinfelder Wändchen",2023-07,,
Hänsel und Gretl,V,"Frankenjura, Steinfelder Wändchen",2023-07,onsight,
Hut,V,"Frankenjura, Steinfelder Wändchen",2023-07,onsight,
M&M,VII,"Frankenjura, Steinfelder Wändchen",2023-07,,
Vom Feinsten,VII-,"Frankenjura, Kalmusfels",2023-05,,
One hit wonder,VII+,"Frankenjura, Kalmusfels",2023-05,flash,
Summerfeeling,VI,"Frankenjura, Kalmusfels",2023-05,onsight,
Neuer Weg,VI+,"Frankenjura, Unentwegtenwand",2023-05,flash,
Westkante,VI+,"Frankenjura, Stubaier Wand",2023-05,onsight,
Fleischmann,VI,"Frankenjura, Stubaier Wand",2023-05,onsight,
Sandnado,VII-,"Gö, Klappenhauwand",2022-08,onsight,
Alter Weg,VII,"Frankenjura, Spitzer Turm",2022-06,onsight,
Nürnberger Weg,VI+,"Frankenjura, Rabenstein",2022-06,onsight,
Das Umständemonster,VII,"Gö, Maria Spring",2022-03,onsight,
Damenwahl,VII,"Gö, Maria Spring",2022-03,,
Herrenpartie,VII+,"Gö, Maria Spring",2022-03,onsight,
Und sie bewegt sich doch...,VI+/VII-,"Gö, Rheinhäuser Tal",2021-08,,
Hensens Roadtrip,VI+,"Gö, Maria Spring",2021-08,,
Kashba,6c+,Sella - Techo del Rino,2026-02-10,Redpoint,
Osterei,6c+,Thalhofergrat - Obere Ostwand,2026-03-01,Redpoint,
Gruselkabinett,6a+,Thalhofergrat - Obere Ostwand,2026-03-07,Redpoint,
Osterbraten,6a+,Thalhofergrat - Obere Ostwand,2026-03-10,Onsight,
Palmwedel,6b+,Thalhofergrat - Obere Ostwand,2026-03-11,Redpoint,
Eisenwand,6+,Lindenstein,2026-03-21,Redpoint,
Frankenländer Weg,6,Lindenstein,2026-03-21,Onsight,
Lachmöwe,6-,Schiffsbug,2026-03-22,f,
Tiefenrausch,7-,Schiffsbug,2026-03-22,Redpoint - Tolle Route aber SEHR brüchig!,
Mistral,7-,Föhrenstein & Föhrensteinturm - Föhrenstein,2026-03-24,Redpoint,
Steinschlag,7+,Föhrenstein & Föhrensteinturm - Föhrenstein,2026-03-24,Redpoint,
Mikro,7-,Föhrenstein & Föhrensteinturm - Föhrenstein,2026-03-24,Redpoint,
Trap Line,6b+,Los Pinos - Casa,2026-01-31,Onsight,
